title,genres,character_name_and_cast,overview,release_date,tagline,vote_average,vote_count
Star Wars,"Action, Adventure, Science Fiction","Han Solo - Harrison Ford, Luke Skywalker - Mark Hamill, Princess Leia Organa - Carrie Fisher",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,1977-05-25,"A long time ago in a galaxy far, far away...",8.1,6624
Forrest Gump,"Comedy, Drama, Romance","Forrest Gump - Tom Hanks, Jenny Curran - Robin Wright, Lt. Dan Taylor - Gary Sinise","A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",1994-07-06,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",8.2,7927
American History X,Drama,"Danny Vinyard - Edward Furlong, Derek Vinyard - Edward Norton, Doris Vinyard - Beverly D'Angelo","Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",1998-10-30,Some Legacies Must End.,8.2,3016
Memento,"Mystery, Thriller","Leonard - Guy Pearce, Natalie - Carrie-Anne Moss, Teddy Gammell - Joe Pantoliano","Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",2000-10-11,Some memories are best forgotten.,8.1,4028
The Lord of the Rings: The Return of the King,"Action, Adventure, Fantasy","Aragorn - Viggo Mortensen, Frodo Baggins - Elijah Wood, Gandalf the White - Ian McKellen","Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",2003-12-01,The eye of the enemy is moving.,8.1,8064
pta ni 1,"Adventure, Animation, Fantasy","Ashitaka (voice) - Yu014dji Matsuda, Eboshi-gozen (voice) - Yu016bko Tanaka, San (voice) - Yuriko Ishida","Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",1997-07-12,The Fate Of The World Rests On The Courage Of One Warrior.,8.2,1983
pta ni 2,"Adventure, Animation, Family, Fantasy","Chihiro (voice) - Rumi Hiiragi, Haku (voice) - Miyu Irino, Yubaba (voice) - Mari Natsuki",A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,2001-07-20,The tunnel led Chihiro to a mysterious town...,8.3,3840
The Dark Knight,"Action, Crime, Drama, Thriller","Bruce Wayne - Christian Bale, Harvey Dent - Aaron Eckhart, Joker - Heath Ledger","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008-07-16,Why So Serious?,8.2,12002
Dead Poets Society,Drama,"John Keating - Robin Williams, Neil Perry - Robert Sean Leonard, Todd Anderson - Ethan Hawke","At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",1989-06-02,He was their inspiration. He made their lives extraordinary.,8.1,2705
The Godfather,"Crime, Drama","Don Vito Corleone - Marlon Brando, Michael Corleone - Al Pacino, Santino 'Sonny' Corleone - James Caan","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1972-03-14,An offer you can't refuse.,8.4,5893
